"Area served","Area served"
"Available language","Available language"
"Contact option","Contact option"
"Contact type","Contact type"
"Corporate contacts","Corporate contacts"
"Enabled","Enabled"
"Facebook","Facebook"
"Google +","Google +"
"Google Knowledge Graph","Google Knowledge Graph"
"Instagram","Instagram"
"Linkedin","Linkedin"
"Logo","Logo"
"Logos","Logos"
"Myspace","Myspace"
"Pinterrest","Pinterrest"
"Social profile links","Social profile links"
"Soundcloud","Soundcloud"
"Telephone","Telephone"
"Tumblr","Tumblr"
"Twitter","Twitter"
"Youtube","Youtube"




